RT_Demand,DayOfWeek,HourOfDay
477.88,5.0,10.0
469.18,5.0,11.0
447.95,5.0,12.0
405.2,5.0,13.0
355.87,5.0,14.0
341.0,5.0,15.0
364.43,5.0,16.0
405.63,5.0,17.0
462.53,5.0,18.0
511.87,5.0,19.0
538.76,5.0,20.0
544.41,5.0,21.0
531.62,5.0,22.0
501.87,5.0,23.0
465.1,6.0,0.0
434.47,6.0,1.0
418.97,6.0,2.0
411.96,6.0,3.0
410.67,6.0,4.0
412.04,6.0,5.0
422.29,6.0,6.0
426.13,6.0,7.0
419.87,6.0,8.0
396.98,6.0,9.0
371.34,6.0,10.0
357.39,6.0,11.0
330.4,6.0,12.0
320.95,6.0,13.0
307.74,6.0,14.0
295.69,6.0,15.0
314.54,6.0,16.0
353.18,6.0,17.0
434.55,6.0,18.0
508.59,6.0,19.0
543.36,6.0,20.0
553.32,6.0,21.0
536.71,6.0,22.0
498.77,6.0,23.0
458.82,0.0,0.0
432.92,0.0,1.0
418.77,0.0,2.0
411.51,0.0,3.0
408.62,0.0,4.0
417.75,0.0,5.0
448.37,0.0,6.0
483.39,0.0,7.0
519.28,0.0,8.0
502.66,0.0,9.0
468.43,0.0,10.0
446.8,0.0,11.0
392.82,0.0,12.0
341.2,0.0,13.0
319.99,0.0,14.0
313.84,0.0,15.0
312.59,0.0,16.0
348.58,0.0,17.0
432.38,0.0,18.0
520.89,0.0,19.0
561.54,0.0,20.0
571.15,0.0,21.0
555.09,0.0,22.0
513.56,0.0,23.0
468.21,1.0,0.0
437.15,1.0,1.0
420.39,1.0,2.0
411.72,1.0,3.0
412.89,1.0,4.0
